lambda,agent_type,run,avg_final_state,avg_avg_state,avg_accuracy,avg_engagement,avg_questions_answered,avg_total_reward
0.2,bandit,38,1.925,1.8819741620407462,0.3809430283365819,0.508448862002221,73.87,0.48294769526909304
0.2,bandit,39,1.845,1.8484609363814137,0.3739036752200181,0.48109653944859454,62.5225,0.4596579666028792
0.2,bandit,40,1.985,1.971386835908539,0.3637693146618105,0.4701233150170339,62.93,0.4488525149459892
0.2,bandit,41,2.0375,1.9981815574816864,0.34534286211545023,0.43653197041012193,57.0775,0.4182941487511876
0.2,bandit,42,1.96,1.9744666078698492,0.34651113779617326,0.4536193801396935,54.635,0.4321977316709895
0.2,bandit,43,1.95,1.9425864563794184,0.3619385596665791,0.4827525879171728,63.705,0.45858978226705405
0.2,bandit,44,1.855,1.8409111075489406,0.3859226968165254,0.49129080401005887,65.985,0.4702171825713522
0.2,bandit,45,2.015,1.9940152471591965,0.33286610631965297,0.4404152320638293,65.98,0.4189054069149941
0.2,bandit,46,1.8725,1.7894378185614972,0.37594804413793415,0.514712772432758,67.985,0.4869598267737933
0.2,bandit,47,1.985,1.9676700254208503,0.3716653780038075,0.4533448568712689,63.12,0.43700896109777676
0.2,bandit,48,1.9575,1.949017650242249,0.3548394472362608,0.48252818268915365,53.76,0.45699043559857516
0.2,bandit,49,2.05,1.9952388216224142,0.3659665521822568,0.443032035707554,61.5125,0.4276189390024946
0.2,bandit,50,1.9575,1.9556152395017494,0.3476915042883739,0.45574457136077867,60.3425,0.43413395794629767
0.2,pomdp,1,1.5875,1.7073431786047786,0.4837877288038716,0.6412917706172147,87.4775,0.6097909622545461
0.2,pomdp,2,1.72,1.8891685869083263,0.4861786407591954,0.645855896277944,89.5575,0.6139204451741944
0.2,pomdp,3,1.655,1.763279527938036,0.4752524938617577,0.632369638025547,84.945,0.6009462091927891
0.2,pomdp,4,1.7,1.8306482136812416,0.498682135505676,0.6681473439248938,97.16,0.6342543022410503
0.2,pomdp,5,1.72,1.918775994142362,0.48420195266861765,0.6259429057288698,80.86,0.5975947151168195
0.2,pomdp,6,1.805,1.9068892160139344,0.4770385927702687,0.6148535935106086,80.745,0.5872905933625406
0.2,pomdp,7,1.6925,1.821762803604899,0.4673210871029744,0.630630468893212,82.7325,0.5979685925351644
0.2,pomdp,8,1.69,1.80957914795642,0.4688680511224233,0.6351693703640248,83.8975,0.6019091065157045
0.2,pomdp,9,1.715,1.8449746390639756,0.5011500465831064,0.6436149934015694,90.0675,0.6151220040378768
0.2,pomdp,10,1.655,1.7650812575553987,0.48298948828126825,0.6460641263974778,92.7525,0.6134491987742359
0.2,pomdp,11,1.74,1.8518680045225517,0.48591176600561226,0.6475536930528967,87.39,0.6152253076434397
0.2,pomdp,12,1.6625,1.8273472469399334,0.48872571053816816,0.6369417531703313,87.6,0.6072985446438987
0.2,pomdp,13,1.675,1.833115145623774,0.5027791196269976,0.6626688517637223,98.5825,0.6306909053363773
0.2,pomdp,14,1.8175,1.9458103422987727,0.4680751974242367,0.623345117895752,78.7925,0.592291133801449
0.2,pomdp,15,1.87,1.9634070053965929,0.47212082833160596,0.6129669212811832,80.9725,0.5847977026912677
0.2,pomdp,16,1.73,1.838295244489105,0.48354124728108727,0.6333151513825068,86.45,0.6033603705622229
0.2,pomdp,17,1.9,2.0475372491740536,0.48250042644562796,0.5911600916906167,80.3975,0.5694281586416189
0.2,pomdp,18,1.695,1.8471219924661098,0.48518691249736684,0.6435840104696094,91.1925,0.6119045908751609
0.2,pomdp,19,1.6975,1.815470736186824,0.5001282598656569,0.6527155753565448,92.375,0.6221981122583673
0.2,pomdp,20,1.6875,1.8441452308026436,0.4819267820190785,0.6192365860887353,86.375,0.591774625274804
0.2,pomdp,21,1.86,1.9870765500076357,0.4890149143920138,0.647531087117983,90.335,0.6158278525727892
0.2,pomdp,22,1.7775,1.9079345705061457,0.4782669987352343,0.6263214294969413,84.3975,0.5967105433445998
0.2,pomdp,23,1.7125,1.82291686416922,0.4714263568052489,0.6498293272875821,93.55,0.6141487331911155
0.2,pomdp,24,1.7575,1.8813695534323391,0.4715351080106118,0.6365051769135825,85.39,0.6035111631329886
0.2,pomdp,25,1.7525,1.8475433276092479,0.48818213569048224,0.6582093748895701,88.33,0.6242039270497526
0.2,pomdp,26,1.625,1.7688037326313488,0.4947464225508857,0.6481958269365399,90.1525,0.617505946059409
0.2,pomdp,27,1.8825,2.062559728957871,0.4769035778523935,0.6440499034597968,82.415,0.6106206383383161
0.2,pomdp,28,1.7175,1.822516032848011,0.4957257693028603,0.6530709372718068,91.22,0.6216019036780175
0.2,pomdp,29,1.7725,1.9160359742971136,0.47667484439211144,0.6356840921996324,75.92,0.6038822426381283
0.2,pomdp,30,1.8375,1.92839429052558,0.49297358895929283,0.6600778670258006,89.9875,0.6266570114124991
0.2,pomdp,31,1.6325,1.7513401591461035,0.48610635416216197,0.6370120994049937,90.475,0.6068309503564273
0.2,pomdp,32,1.785,1.9405076642134522,0.48079609302712967,0.6209404449432767,83.07,0.5929115745600473
0.2,pomdp,33,1.815,1.9391378436259479,0.48485175034399347,0.6346081154843628,81.6325,0.6046568424562889
0.2,pomdp,34,1.8525,1.9370024387573535,0.48033749264919684,0.622616628298922,84.3225,0.5941608011689768
0.2,pomdp,35,1.6525,1.7922166652311609,0.4831332236400837,0.660471381373087,87.2425,0.6250037498264865
0.2,pomdp,36,1.6475,1.813592064337945,0.49420184758192276,0.6319317482375351,84.35,0.6043857681064126
0.2,pomdp,37,1.74,1.880735610737922,0.4908014408459327,0.644531898865051,88.34,0.6137858072612273
0.2,pomdp,38,1.6975,1.8134687733727315,0.4834329703001592,0.6262175158734198,89.8425,0.5976606067587676
0.2,pomdp,39,1.6725,1.7906904730936133,0.47758219206610214,0.6235450867866289,82.4425,0.5943525078425236
0.2,pomdp,40,1.715,1.8088644291240956,0.4868606625557076,0.643136750610114,90.595,0.6118815329992328
0.2,pomdp,41,1.6625,1.7378368820382126,0.4955124102814423,0.6558886660081581,84.7825,0.6238134148628149
0.2,pomdp,42,1.675,1.8424946603674164,0.47404493070126863,0.6486533147927779,78.9,0.613731637974476
0.2,pomdp,43,1.77,1.8915093787552708,0.48662072681701185,0.6484907327784106,89.7025,0.6161167315861309
0.2,pomdp,44,1.5875,1.7424598073808846,0.48204035556155234,0.6440654037875286,86.455,0.6116603941423334
0.2,pomdp,45,1.67,1.821665983700829,0.49350512536004953,0.6350977020640074,92.06,0.6067791867232158
0.2,pomdp,46,1.74,1.8979395279898852,0.475821491939636,0.6476852405312292,84.0175,0.6133124908129106
0.2,pomdp,47,1.805,1.8835366258617399,0.47609410551601455,0.6408288809511895,81.1025,0.6078819258641545
0.2,pomdp,48,1.7625,1.9273091035211198,0.4791457003361331,0.6188386954468208,87.91,0.5909000964246833
0.2,pomdp,49,1.79,1.957411275613793,0.4775423484210529,0.6143036919516116,83.605,0.5869514232454999
0.2,pomdp,50,1.6775,1.8175143429074745,0.47852262979112514,0.6444049619049594,90.0125,0.6112284954821926
0.3,bandit,1,1.9675,1.9298376717723187,0.35811256675430975,0.4615055567279831,65.2375,0.4304876597358811
0.3,bandit,2,2.0075,1.9537991325473845,0.35130139550179296,0.449664782891535,59.685,0.4201557666746123
0.3,bandit,3,1.985,1.943299450208733,0.3442983292352257,0.44124627728322297,54.9725,0.4121618928688238
0.3,bandit,4,1.9175,1.885228537927719,0.37758605229176523,0.4817467899636878,60.0325,0.45049856866211113
0.3,bandit,5,1.9825,1.9279808317375116,0.39273554718412457,0.5003300026299633,65.9775,0.4680516659962116
0.3,bandit,6,1.8875,1.876311063078023,0.37336191467474933,0.4848483125970813,65.15,0.45140239322038167
0.3,bandit,7,1.9875,1.928658785097289,0.3460055376641543,0.4600024585577658,61.4575,0.4258033822896823
0.3,bandit,8,1.9725,1.9812000772180403,0.3708212602427661,0.4690881554600728,70.5875,0.43960808689488073
0.3,bandit,9,1.94,1.932009287541823,0.36975726937684805,0.45820695069560424,65.79,0.43167204629997735
0.3,bandit,10,2.0225,2.0025266593805977,0.3400664774583848,0.44537754963938697,54.27,0.41378422798508635
0.3,bandit,11,1.9225,1.8917844419609038,0.3526629012245693,0.47111791138203857,60.6525,0.4355814083347977
0.3,bandit,12,1.825,1.8551725806528712,0.35233938429094563,0.4565773227022411,59.43,0.42530594117885245
0.3,bandit,13,1.9725,1.9307606853847574,0.38030359775408856,0.47927831830019557,64.375,0.4495859021363634
0.3,bandit,14,1.97,1.9488654155840726,0.35474940777615516,0.4475371114327827,58.57,0.4197008003357945
0.3,bandit,15,1.9375,1.8904583756749629,0.3641779778551838,0.463634819551149,62.945,0.4337977670423594
0.3,bandit,16,2.0,1.965186228428331,0.3590334664792425,0.474492203537913,58.0925,0.43985458242031183
0.3,bandit,17,2.0125,1.9644076505788473,0.3462685150947343,0.45189781557120307,58.645,0.42020902542826233
0.3,bandit,18,1.9575,1.9648130398824404,0.3518236856102637,0.4465251330079941,62.0975,0.41811469878867497
0.3,bandit,19,1.935,1.8754763157168393,0.36276858126827977,0.48416867208816083,63.5575,0.44774864484219656
0.3,bandit,20,1.955,1.9096310664557916,0.3605509087464054,0.4816137137343092,66.41,0.44529487223793807
0.3,bandit,21,1.9125,1.8683579821160594,0.37004076288697996,0.46717179148014737,62.845,0.43803248290219715
0.3,bandit,22,2.005,1.9773965495588346,0.33460646194996957,0.45601946804940363,58.9825,0.41959556621957333
0.3,bandit,23,1.8425,1.8155894458959962,0.3873227671596652,0.49391064287809017,59.0475,0.4619342801625626
0.3,bandit,24,2.0125,1.9728442694534218,0.3436426368696768,0.45787464845475356,59.4875,0.42360504497923046
0.3,bandit,25,1.9275,1.9345812598174188,0.35768682590698164,0.44424396186867443,61.88,0.4182768210801666
0.3,bandit,26,1.9,1.8721474166610796,0.3774241503828108,0.47859704754954974,71.01,0.44824517839952804
0.3,bandit,27,1.88,1.8846767996567575,0.3511252610240239,0.47356798820107115,56.665,0.43683517004795697
0.3,bandit,28,2.01,1.9989513322662609,0.3679079905650761,0.46407197342983614,62.8875,0.43522277857040814
0.3,bandit,29,2.005,1.9878042545478476,0.3633947615552491,0.44864583468064295,62.515,0.4230705127430248
0.3,bandit,30,1.91,1.8481347046914487,0.39021790206864265,0.4930816139320602,63.065,0.462222500373035
0.3,bandit,31,2.01,1.94112591394067,0.3550546729551918,0.46565430090480786,64.6325,0.43247441251992297
0.3,bandit,32,1.9225,1.8979253493334098,0.3470225595708202,0.463699634424616,59.045,0.42869651196847725
0.3,bandit,33,1.9375,1.8949112798788406,0.3670941833612747,0.4783770965781666,66.865,0.4449922226130991
0.3,bandit,34,1.96,1.8774653467440572,0.36058501240619706,0.465867456617479,63.21,0.43428272335409446
0.3,bandit,35,1.98,1.9373070555153244,0.36606131544319553,0.4705607997185394,61.5925,0.4392109544359362
0.3,bandit,36,1.9325,1.9133376607288364,0.34712379440555563,0.4577986346337967,56.6525,0.4245961825653244
0.3,bandit,37,1.9775,1.9557734531380748,0.38652281690773493,0.48205337307050056,65.6475,0.4533942062216708
0.3,bandit,38,1.995,1.9802021016451763,0.3477995300156826,0.4717286868104299,63.275,0.43454993977200573
0.3,bandit,39,1.9325,1.929641749505991,0.36643206529912187,0.456882994682327,62.0725,0.4297477158673655
0.3,bandit,40,1.88,1.8301201352497285,0.3668393167881602,0.49801252175612265,62.6825,0.4586605602657339
0.3,bandit,41,1.995,1.975369790952937,0.3476387630791582,0.43109242099798123,54.0925,0.40605632362233435
0.3,bandit,42,2.0475,2.001139114789374,0.36327232782475777,0.45574494113263314,63.81,0.4280031571402705
0.3,bandit,43,2.0025,1.9520177854124352,0.3672074862138488,0.4771069799716635,64.42,0.4441371318443191
0.3,bandit,44,1.8925,1.8239086370951911,0.38389258310017765,0.5005818717267594,68.725,0.46557508513878487
0.3,bandit,45,2.03,2.0155751698344306,0.35454346318372465,0.43290893232840433,57.9325,0.4093992915850004
0.3,bandit,46,2.0275,2.008301761940187,0.3642478955780415,0.4637733785799489,64.625,0.4339157336793767
0.3,bandit,47,1.94,1.927365540460123,0.3835382964397944,0.48147894255370166,60.0075,0.45209674871952954
0.3,bandit,48,1.8875,1.904189416546766,0.36671878561881427,0.488713809958998,64.49,0.4521153026569428
0.3,bandit,49,1.99,1.9920674136125291,0.34107212275986526,0.4280054128306477,57.66,0.401925425809413
0.3,bandit,50,1.9075,1.853807869943555,0.38560169076672646,0.466600425518578,70.3875,0.4423008050930225
