agent_type,reward_function,run_number,avg_final_state,avg_avg_state,avg_accuracy,avg_engagement,avg_questions_answered
bandit,knowledge_gain,25,2.0225,2.017603149059239,0.3291458933791888,0.40240397512991904,14.0675
bandit,knowledge_gain,26,2.1025,2.078983504170094,0.31637367777960357,0.3654852998941024,13.5075
bandit,knowledge_gain,27,2.1,2.065695843942375,0.3291734783509743,0.39583455374876636,14.36
bandit,knowledge_gain,28,2.1275,2.0826680665136466,0.3044410273414225,0.35564106165362114,12.505
bandit,knowledge_gain,29,1.98,1.9713922762772653,0.3324062952532047,0.392316960126979,14.145
bandit,knowledge_gain,30,1.96,1.914560127184184,0.3310191576537538,0.4330765854851222,15.8425
bandit,learning_progress,1,1.9825,1.9532236501836189,0.33755523599799303,0.4164193385441979,14.17
bandit,learning_progress,2,2.06,2.018166471149318,0.31745919419312574,0.40379692424571234,12.6175
bandit,learning_progress,3,2.0325,1.9533415619196506,0.3503077938020783,0.4222330357241128,15.2975
bandit,learning_progress,4,1.975,1.9361770365404316,0.3281892572091444,0.4333857132665211,13.6025
bandit,learning_progress,5,2.1025,2.068972705814489,0.29525671021491556,0.3628751569501577,12.9275
bandit,learning_progress,6,2.075,2.02484064090623,0.3372122752669253,0.39517187029106493,13.2575
bandit,learning_progress,7,2.0725,2.044568381714866,0.31895098647122067,0.3810480395047386,13.1375
bandit,learning_progress,8,2.0975,2.061976649136886,0.30194549178999397,0.3759859401318313,13.9525
bandit,learning_progress,9,2.08,2.0091071535335687,0.3557519733663737,0.40403921572240376,15.2975
bandit,learning_progress,10,2.085,2.021886777896774,0.3191705073726586,0.3896797577093413,12.8975
bandit,learning_progress,11,1.9675,1.9406944994968223,0.32762615383730415,0.3851554414141121,12.7375
bandit,learning_progress,12,2.1125,2.057188779617688,0.30594665206045607,0.38384635649964577,12.1125
bandit,learning_progress,13,2.08,2.039072309919659,0.3076989391044745,0.36603991051758444,13.67
bandit,learning_progress,14,2.1675,2.125589264620327,0.31399588148366614,0.3874871494537768,14.3975
bandit,learning_progress,15,2.0575,2.0383005952100426,0.31813796060133304,0.3895101006700709,13.4425
bandit,learning_progress,16,1.9275,1.9193566040868688,0.3239283142485241,0.43585660521583713,13.31
bandit,learning_progress,17,2.16,2.1091784129695514,0.2903884271344894,0.37653904922575504,13.26
bandit,learning_progress,18,1.9725,1.942153902571026,0.3170258691380543,0.4235514271444965,14.0575
bandit,learning_progress,19,2.1625,2.152664584607865,0.29056123954170004,0.34097915667479967,11.41
bandit,learning_progress,20,2.0675,2.0119315823515844,0.3418552364225967,0.41234480412065777,14.425
bandit,learning_progress,21,1.985,1.9594963327941142,0.328077154240613,0.41201621257853815,12.715
bandit,learning_progress,22,2.1075,2.077493744003355,0.3249446643969416,0.3856905595719776,14.2
bandit,learning_progress,23,2.0125,1.9976405852743895,0.34420185583887786,0.4073268364788099,15.605
bandit,learning_progress,24,2.045,1.995063020924875,0.3348769553721358,0.39709471205853203,13.4775
bandit,learning_progress,25,2.075,2.0649988680877662,0.303027746255481,0.3786447350088092,12.7425
bandit,learning_progress,26,2.1425,2.087673718530682,0.2999078420115101,0.36887102075658385,11.175
bandit,learning_progress,27,2.04,1.9712550129586033,0.3236741422554188,0.3995968481251609,14.29
bandit,learning_progress,28,1.95,1.8879037446919888,0.3433807581369557,0.43849010862228505,15.3
bandit,learning_progress,29,2.115,2.0937268267481044,0.31745616586780456,0.3671716047638746,14.5075
bandit,learning_progress,30,2.095,2.0448259589633513,0.3224093523218842,0.37563208483746835,13.415
bandit,composite_time,1,2.035,1.9663636109430422,0.4139152083332043,0.546940095181638,19.7425
bandit,composite_time,2,2.005,1.9708915711558217,0.38170758604703847,0.5207917139290115,19.935
bandit,composite_time,3,1.9525,1.9240881049694476,0.4131244224924103,0.5738787991108412,22.0325
bandit,composite_time,4,2.0725,2.040271939763414,0.3881778786203576,0.5477523117461838,21.605
bandit,composite_time,5,2.0325,2.0211022478760077,0.3928028306632491,0.5702679673002428,18.385
bandit,composite_time,6,1.98,1.9647623575196858,0.39461806374900943,0.5430337673079062,16.985
bandit,composite_time,7,2.05,2.0246447906542757,0.3695932968205785,0.5334544980973487,17.235
bandit,composite_time,8,2.0325,2.03256149201503,0.40151065234014865,0.533283454901091,18.4475
bandit,composite_time,9,1.9575,1.9626982263239672,0.37986801983864815,0.5513682258360013,17.1775
bandit,composite_time,10,2.0425,2.058862319626439,0.3527596807560879,0.5418581281930512,18.23
bandit,composite_time,11,2.02,2.002299284715489,0.3852113445088904,0.5525561325904619,20.0725
bandit,composite_time,12,1.9775,1.9248253723753512,0.39472537339095554,0.5605828874432892,20.1775
bandit,composite_time,13,1.9775,1.9792677746798863,0.39018696367266176,0.5473792468229475,18.225
bandit,composite_time,14,2.02,1.9868972843359471,0.4148901716660059,0.5311277820805583,17.88
bandit,composite_time,15,2.0225,1.9707428711680022,0.3989609448092291,0.553476530130555,19.5375
bandit,composite_time,16,2.0425,2.0269258253773064,0.38402340763556586,0.5409486056754941,18.165
bandit,composite_time,17,2.1025,2.0632143029280554,0.39139340112901166,0.5282391831917701,19.3425
bandit,composite_time,18,2.0325,2.027033763327083,0.39927047798559406,0.5501195296916473,20.42
bandit,composite_time,19,2.075,2.049933490929569,0.38778978322983143,0.5297539726529389,18.9925
bandit,composite_time,20,2.065,2.038300870169502,0.3955310134406391,0.5446682512541329,19.4425
bandit,composite_time,21,2.0475,2.0420277114113654,0.3623135556291687,0.5313958826640208,17.0125
bandit,composite_time,22,2.015,1.9968246855163294,0.37207676080156077,0.5441852998354263,21.1575
bandit,composite_time,23,2.1075,2.068317387945634,0.3626620528342636,0.5145463972975424,19.0925
bandit,composite_time,24,1.9575,1.933015971741348,0.4073756283855839,0.553932606898447,18.975
bandit,composite_time,25,2.1,2.038140030730351,0.37737422612625515,0.5480882602787062,21.6275
bandit,composite_time,26,2.085,2.082212388576961,0.3771232988124082,0.5055715441617653,16.45
